 51%|█████████████████████████████████████████████████████████████████████████████████████▉                                                                                  | 578/1130 [16:39<16:08,  1.75s/it]
{'loss': 1.9228, 'grad_norm': 1.3076928853988647, 'learning_rate': 5.7000000000000005e-06, 'epoch': 0.18}
{'loss': 1.9764, 'grad_norm': 1.7955490350723267, 'learning_rate': 1.1700000000000001e-05, 'epoch': 0.35}
{'loss': 1.9759, 'grad_norm': 1.7134251594543457, 'learning_rate': 1.77e-05, 'epoch': 0.53}
{'loss': 1.9957, 'grad_norm': 1.5848103761672974, 'learning_rate': 2.37e-05, 'epoch': 0.71}
{'loss': 1.7687, 'grad_norm': 2.3533976078033447, 'learning_rate': 2.97e-05, 'epoch': 0.88}
{'loss': 1.8334, 'grad_norm': 2.1201322078704834, 'learning_rate': 2.9446601941747575e-05, 'epoch': 1.06}
{'loss': 1.7502, 'grad_norm': 4.21558952331543, 'learning_rate': 2.8893203883495145e-05, 'epoch': 1.24}
{'loss': 1.5036, 'grad_norm': 2.5522537231445312, 'learning_rate': 2.8310679611650486e-05, 'epoch': 1.42}
{'loss': 1.6668, 'grad_norm': 5.07714319229126, 'learning_rate': 2.7728155339805827e-05, 'epoch': 1.59}
{'loss': 1.627, 'grad_norm': 2.7103710174560547, 'learning_rate': 2.7145631067961168e-05, 'epoch': 1.77}
{'loss': 1.5319, 'grad_norm': 3.4169647693634033, 'learning_rate': 2.6563106796116505e-05, 'epoch': 1.95}
{'loss': 1.5677, 'grad_norm': 2.288545846939087, 'learning_rate': 2.5980582524271846e-05, 'epoch': 2.12}
{'loss': 1.5013, 'grad_norm': 3.215024948120117, 'learning_rate': 2.5398058252427187e-05, 'epoch': 2.3}
{'loss': 1.5244, 'grad_norm': 3.0759241580963135, 'learning_rate': 2.4815533980582528e-05, 'epoch': 2.48}
{'loss': 1.546, 'grad_norm': 4.0488409996032715, 'learning_rate': 2.4233009708737862e-05, 'epoch': 2.65}
{'loss': 1.3876, 'grad_norm': 2.745323896408081, 'learning_rate': 2.3679611650485436e-05, 'epoch': 2.83}
{'loss': 1.4155, 'grad_norm': 5.4811482429504395, 'learning_rate': 2.3097087378640777e-05, 'epoch': 3.01}
{'loss': 1.5042, 'grad_norm': 4.410007476806641, 'learning_rate': 2.2514563106796118e-05, 'epoch': 3.19}
{'loss': 1.4524, 'grad_norm': 6.223704814910889, 'learning_rate': 2.196116504854369e-05, 'epoch': 3.36}
{'loss': 1.3684, 'grad_norm': 4.058538436889648, 'learning_rate': 2.137864077669903e-05, 'epoch': 3.54}
{'loss': 1.4754, 'grad_norm': 3.9412455558776855, 'learning_rate': 2.079611650485437e-05, 'epoch': 3.72}
{'loss': 1.4775, 'grad_norm': 5.355372428894043, 'learning_rate': 2.0213592233009708e-05, 'epoch': 3.89}
{'loss': 1.3658, 'grad_norm': 4.266943454742432, 'learning_rate': 1.963106796116505e-05, 'epoch': 4.07}
{'loss': 1.4476, 'grad_norm': 7.133638858795166, 'learning_rate': 1.904854368932039e-05, 'epoch': 4.25}
{'loss': 1.3947, 'grad_norm': 3.5714995861053467, 'learning_rate': 1.846601941747573e-05, 'epoch': 4.42}
{'loss': 1.3363, 'grad_norm': 3.178478479385376, 'learning_rate': 1.7883495145631068e-05, 'epoch': 4.6}
{'loss': 1.2656, 'grad_norm': 5.876224517822266, 'learning_rate': 1.730097087378641e-05, 'epoch': 4.78}
{'loss': 1.5024, 'grad_norm': 6.64273738861084, 'learning_rate': 1.671844660194175e-05, 'epoch': 4.96}
